Player,Year,Matches,Wins,Losses,Win%,Ace%,DF%,1stIn,1st%,2nd%,SPW%,RPW%,TPW%,DomRatio
Christian Vinck,2000,18,7,11,0.3888888888888889,0.04756022235948116,0.042001235330450894,0.6312538604076591,0.6731898238747553,0,0.6158122297714639,0.36416938110749186,0,0.9478942572556742
David Prinosil,2000,37,22,15,0.5945945945945946,0.11203319502074689,0.06447494414299394,0.5244174912224705,0.7681071211199026,0,0.6268751994893074,0.36440391759540697,0,0.9766274369772541
Jason Stoltenberg,2000,34,21,13,0.6176470588235294,0.07846153846153846,0.04230769230769231,0.5696153846153846,0.7461174881836596,0,0.6365384615384615,0.41104734576757535,0,1.1309239142811596
Dejan Petrovic,2000,6,2,4,0.3333333333333333,0.06728538283062645,0.04408352668213457,0.5243619489559165,0.672566371681416,0,0.5777262180974478,0.3442622950819672,0,0.8152585119798236
Tuomas Ketola,2000,8,3,5,0.375,0.06103286384976526,0.050078247261345854,0.5320813771517997,0.7352941176470589,0,0.6025039123630673,0.3746397694524496,0,0.942499262520139
Paul Goldstein,2000,42,20,22,0.47619047619047616,0.031192660550458717,0.0290519877675841,0.6409785932721712,0.648854961832061,0,0.5954128440366973,0.39406909202078877,0,0.9740029712078453
Laurence Tieleman,2000,26,8,18,0.3076923076923077,0.12179487179487179,0.07347140039447732,0.51232741617357,0.7613089509143407,0,0.613905325443787,0.32216216216216215,0,0.8344123433778605
Scott Draper,2000,7,2,5,0.2857142857142857,0.0963855421686747,0.05163511187607573,0.5352839931153184,0.7684887459807074,0,0.6419965576592083,0.32321428571428573,0,0.9028245192307693
Peter Wessels,2000,9,5,4,0.5555555555555556,0.1221264367816092,0.022988505747126436,0.6637931034482759,0.7380952380952381,0,0.6810344827586207,0.3166421207658321,0,0.9927158380766626
Jiri Vanek,2000,22,10,12,0.45454545454545453,0.06578301423662249,0.03829160530191458,0.5596465390279823,0.6991228070175438,0,0.5989199803632793,0.3767587285044294,0,0.9393605017913373
